CAS;Tipo_olor;Descriptor_1;Descriptor_2;Fuerza_Olor;Clacificacion;Presion_vapor;Area;Fuerza;smiles;nomenclature;Molecule
928-96-1;verde;fresco;Herboso;alto;aromatizante;1.04;0.0212;0.5;CC\C=C/CCO;(Z)-Hex-3-en-1-ol;"<img data-content=""rdkit/molecule"" src=""data:image/png"
544-12-7;verde;hoja verde;0;alto;aromatizante;1.04;0.021;0.5;CC/C=C/CCO;['hex-3-en-1-ol', '(E)-hex-3-en-1-ol'];"<img data-content=""rdkit/molecule"" src=""data:image/png"
39255-32-8;verde;fresco;melon verde;medio;aromatizante;2.91;0.0218;0.3;CCCC(C)C(=O)OCC;Ethyl 2-methylpentanoate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
80-56-8;herbal;fresco;amaderado;alto;aromatizante;4.75;0.0289;0.5;CC1=CCC2CC1C2(C)C;4,7,7-trimethylbicyclo[3.1.1]hept-3-ene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
141-97-9;frutal;fresco;manzana verde;medio;aromatizante;0.89;0.0547;0.3;CCOC(=O)CC(C)=O;ethyl 3-oxobutanoate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
3387-41-5;maderoso;picante;especiado;medio;aromatizante;2.63;0.0192;0.3;CC(C)C12CCC(=C)C1C2;4-methylidene-1-propan-2-ylbicyclo[3.1.0]hexane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
18172-67-3;herbal;seco;amaderado;alto;aromatizante;2.399;0.0986;0.5;CC1(C)[C@H]2CCC(=C)[C@@H]1C2;(1S,5S)-7,7-dimethyl-4-methylidenebicyclo[3.1.1]heptane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
123-35-3;picante;balsámico;terpénico;alto;aromatizante;2.29;0.0476;0.5;CC(C)=CCCC(=C)C=C;7-methyl-3-methylideneocta-1,6-diene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
3681-82-1;frutal;corteza verde;plátano;medio;aromatizante;1.219;0.0542;0.3;CC/C=C/CCOC(C)=O;['Hex-3-enyl acetate', '[(E)-hex-3-enyl] acetate'];"<img data-content=""rdkit/molecule"" src=""data:image/png"
142-92-7;frutal;manzana verde;plátano dulce;medio;aromatizante;1.391;0.3477;0.3;CCCCCCOC(C)=O;Hexyl acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
288-94-8;ND;0;0;0;0;0;0.2853;0.1;[nH]1ncnn1;2H-Tetrazole;"<img data-content=""rdkit/molecule"" src=""data:image/png"
151-56-4;ND;0;0;0;aditivo i0irecto;0;0.2889;0.1;C1CN1;Aziridine;"<img data-content=""rdkit/molecule"" src=""data:image/png"
109-86-4;ND;0;0;0;sistesis quimica;5.975;0.4894;0.1;COCCO;2-Methoxyethanol;"<img data-content=""rdkit/molecule"" src=""data:image/png"
110-98-5;alcohólico;0;0;suave;disolvente aromatizante;0.012;1.0147;0.1;CC(O)COCC(C)O;1-(2-hydroxypropoxy)propan-2-ol;"<img data-content=""rdkit/molecule"" src=""data:image/png"
110-98-5;alcohólico;0;0;suave;disolvente aromatizante;0.012;1.0147;0.1;CC(O)COCC(C)O;1-(2-hydroxypropoxy)propan-2-ol;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1825-61-2;ND;0;0;0;0;0;0.3219;0.1;CO[Si](C)(C)C;methoxy-trimethylsilane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
5989-27-5;citrico;dulce;naranja;medio;aromatizante;0.198;2.4805;0.3;CC(=C)[C@@H]1CCC(=CC1)C;(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
106-62-7;ND;0;0;0;0;0;1.0552;0.1;CC(O)COC(C)CO;2-(2-hydroxypropoxy)propan-1-ol;"<img data-content=""rdkit/molecule"" src=""data:image/png"
106-62-7;ND;0;0;0;0;0;1.0552;0.1;CC(O)COC(C)CO;2-(2-hydroxypropoxy)propan-1-ol;"<img data-content=""rdkit/molecule"" src=""data:image/png"
99-85-4;terpénico;citrico;lima;medio;aromatizante;1.075;0.0649;0.3;CC(C)C1=CCC(=CC1)C;1-methyl-4-propan-2-ylcyclohexa-1,4-diene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
18479-58-8;citrico;fresco;lima;medio;aromatizante;0.16;0.7294;0.3;CC(CCCC(C)(C)O)C=C;2,6-Dimethyloct-7-en-2-ol;"<img data-content=""rdkit/molecule"" src=""data:image/png"
106-62-7;ND;0;0;0;0;0;1.0552;0.1;CC(O)COC(C)CO;2-(2-hydroxypropoxy)propan-1-ol;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000131-99-4;ND;0;0;0;0;0;0.0284;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
62338-07-2;ND;0;0;0;sustancia natural;0;0.0282;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
67633-96-9;verde;manzana ;fresco;medio;aromatizante;0.721;0.0252;0.3;CC/C=C/CCOC(=O)OC;['[(E)-hex-3-enyl] methyl carbonate', 'hex-3-enyl methyl carbonate'];"<img data-content=""rdkit/molecule"" src=""data:image/png"
